'HEARING_AID_ID','ENVIRONMENT_CLASSIFICATION_UNIT','HA_PROG','HA_VOL'
'82FB0727','3',47.224277,74.50523
'82FDB5D5','1',56.631504,76.95111
'82FB0727','1',53.43305,74.69338
'82FB0727','3',48.165,71.87121
'82FB0727','3',52.68047,73.00008
'82FB0727','1',40.074783,58.701096
'82FB0727','3',42.896954,70.74234
'82FB0727','3',41.391796,60.770683
'82FB0727','1',38.94592,66.791306
'82FB0727','3',34.994884,58.324806
'82FB0727','3',42.144375,60.770683
'82FB0727','1',32.36086,60.018105
'82FB0727','2',34.05416,60.394394
'82FB0727','3',38.56963,64.72172
'82FB0727','3',28.59797,61.89955
'82FB0727','3',32.549004,61.711407
'82FB0727','3',46.659843,62.087696
'82FB0727','3',37.81705,62.087696
'82FB0727','3',34.994884,62.463985
'82FB0727','3',41.20365,62.463985
'82FB0727','3',36.50004,60.958828
'82FB0727','3',42.144375,66.03873
'82FB0727','3',44.96654,68.10832
'82FB0727','3',41.95623,62.087696
'82FB0727','2',44.590256,65.286156
'82FB0727','2',32.925293,56.255215
'82FB0727','1',34.994884,61.146973
'82FB0727','3',43.649532,63.59285
'82FB0727','3',44.778397,56.44336
'82FB0727','1',39.886642,61.523262
'82FB0727','3',50.610878,58.51295
'82FB0727','2',50.046444,58.889236
'82FB0727','2',36.12375,54.373768
'82FB0727','3',55.69078,64.90987
'82FB0727','2',46.84799,63.59285
'82FB0727','1',37.81705,62.840275
'82FB0727','3',36.688183,61.711407
'82FB0727','2',29.726835,56.255215
'82FB0727','3',34.242306,63.40471
'82FB0727','3',33.489727,53.05676
'82FB0727','2',32.172714,59.265526
'82FB0727','3',32.925293,63.02842
'82FB0727','2',40.074783,57.572227
'82FB0727','2',39.134064,57.572227
'82FB0727','3',35.935604,60.958828
'82FB0727','2',56.255215,73.564514
'82FB0727','2',30.855703,57.19594
'82FB0727','2',32.36086,54.750057
'82FB0727','1',45.34283,66.226875
'82FB0727','3',37.81705,67.92017
'82FB0727','1',43.273243,70.5542
'82FB0727','0',36.876328,60.958828
'82FB0727','2',44.778397,69.04904
'82FB0727','2',42.896954,67.35574
'82FB0727','2',39.134064,58.889236
'82FB0727','2',30.103125,56.06707
'82FB0727','2',43.837677,76.57482
'82FDB5D5','2',38.19334,56.06707
'82FB0727','2',33.113438,68.48461
'82FDB5D5','2',40.827362,62.087696
'82FB0727','2',38.94592,50.610878
'82FDB5D5','2',49.29387,59.265526
'82FB0727','2',32.925293,48.91758
'82FDB5D5','0',35.37117,53.244904
'82FB0727','0',35.935604,47.600567
'82FDB5D5','2',39.134064,56.631504
'82FB0727','2',37.81705,51.92789
'82FDB5D5','1',39.698498,52.492325
'82FB0727','1',39.134064,52.492325
'82FDB5D5','1',48.91758,56.631504
'82FB0727','1',46.283554,55.31449
'82FDB5D5','3',66.979454,71.87121
'82FB0727','3',38.005196,57.007793
'82FB0727','2',35.559315,54.185623
'82FB0727','2',31.608282,54.373768
'82FB0727','2',22.577343,64.53358
'82FB0727','2',41.57994,53.43305
'82FB0727','2',44.96654,61.523262
'82FB0727','2',39.32221,64.34543
'82FB0727','2',39.698498,63.216564
'82FB0727','2',48.353146,62.840275
'82FB0727','2',32.36086,58.889236
'82FB0727','2',32.925293,52.30418
'82FB0727','2',49.105724,72.62379
'82FB0727','2',53.997482,57.007793
'82FB0727','2',31.98457,70.36606
'82FB0727','2',39.510353,49.105724
'82FB0727','2',36.311893,50.610878
'82FB0727','2',58.889236,62.65213
'82FB0727','2',45.907265,55.126347
'82FB0727','1',51.363457,56.255215
'82FB0727','1',51.175312,64.34543
'82FB0727','1',43.273243,58.701096
'82FB0727','1',40.262928,58.51295
'82FB0727','2',54.561913,64.34543
'82FB0727','2',44.590256,56.06707
'82FB0727','2',38.19334,61.146973
'82FB0727','2',39.698498,60.20625
'82FB0727','2',37.44076,60.958828
'82FB0727','2',44.590256,57.572227
'82FB0727','2',41.391796,58.13666
'82FB0727','0',48.353146,57.760372
'82FB0727','2',41.95623,56.631504
'82FB0727','1',54.750057,61.523262
'82FB0727','0',21.072187,37.81705
'82FB0727','2',37.252617,63.02842
'82FB0727','2',45.154686,54.561913
'82FB0727','2',32.36086,61.523262
'82FB0727','2',44.590256,51.5516
'82FB0727','2',40.262928,61.711407
'82FB0727','2',45.34283,58.51295
'82FB0727','1',41.95623,69.80162
'82FB0727','1',43.0851,70.93049
'82FB0727','3',50.046444,66.03873
'82FB0727','3',34.618595,64.34543
'82FB0727','3',42.33252,65.662445
'82FB0727','3',37.81705,66.415016
'82FB0727','3',43.461388,51.5516
'82FB0727','0',38.56963,47.976856
'82FB0727','0',39.32221,47.78871
'82FB0727','2',43.461388,58.13666
'82FB0727','2',42.896954,65.09801
'82FB0727','3',46.84799,63.59285
'82FB0727','3',36.311893,57.384083
'82FB0727','2',39.134064,58.51295
'82FB0727','2',33.866016,51.363457
'82FB0727','2',26.15209,43.273243
'82FB0727','0',38.381485,52.116035
'82FB0727','2',38.381485,70.17791
'82FB0727','2',33.67787,69.98977
'82FB0727','2',30.103125,53.05676
'82FB0727','2',35.37117,69.23719
'82FB0727','0',30.667559,47.412422
'82FB0727','0',34.994884,52.68047
'82FB0727','2',33.489727,53.621193
'82FB0727','2',32.36086,51.363457
'82FB0727','2',34.242306,49.105724
'82FB0727','2',35.74746,50.799023
'82FB0727','2',40.451073,61.89955
'82FB0727','2',36.12375,59.641815
'82FB0727','0',30.29127,46.4717
'82FB0727','0',29.350548,50.422733
'82FB0727','0',26.904669,44.40211
'82FB0727','0',34.05416,48.353146
'82FB0727','2',24.45879,50.987167
'82FB0727','0',23.706211,41.57994
'82FB0727','2',29.162403,52.68047
'82FB0727','0',29.350548,41.015507
'82FB0727','2',40.451073,58.324806
'82FB0727','2',35.37117,67.167595
'82FB0727','2',36.688183,57.384083
'82FB0727','2',42.520664,70.74234
'82FB0727','2',35.74746,58.701096
'82FB0727','2',56.631504,63.40471
'82FB0727','2',26.15209,53.05676
'82FB0727','0',41.768085,55.126347
'82FB0727','0',27.4691,43.0851
'82FB0727','2',28.22168,55.502636
'82FB0727','2',36.688183,47.600567
'82FB0727','0',25.211367,41.20365
'82FB0727','0',27.4691,41.57994
'82FB0727','2',33.113438,61.711407
'82FB0727','0',26.340235,38.56963
'82FB0727','0',22.577343,38.56963
'82FB0727','0',23.706211,43.0851
'82FB0727','2',30.855703,54.373768
'82FB0727','0',25.7758,47.412422
'82FB0727','2',32.172714,53.621193
'82FB0727','0',32.549004,47.600567
'82FB0727','0',32.36086,43.649532
'82FB0727','2',38.56963,52.492325
'82FB0727','2',35.74746,51.363457
'82FB0727','0',36.876328,64.53358
'82FB0727','2',28.786114,51.92789
'82FB0727','2',29.350548,45.154686
'82FB0727','2',29.350548,53.244904
'82FB0727','2',29.350548,47.976856
'82FB0727','2',42.896954,69.61348
'82FB0727','2',41.57994,53.809338
'82FB0727','0',21.072187,44.778397
'82FB0727','2',24.270645,39.134064
'82FB0727','2',33.301582,56.631504
'82FB0727','0',24.45879,49.670155
'82FB0727','2',27.657246,41.768085
'82FB0727','0',32.549004,49.29387
'82FB0727','2',30.479414,63.780994
'82FB0727','2',34.43045,50.23459
'82FB0727','0',19.943321,38.94592
'82FB0727','0',23.894356,47.78871
'82FB0727','0',30.479414,44.778397
'82FB0727','0',37.44076,44.96654
'82FB0727','0',28.409824,49.105724
'82FB0727','2',22.765488,48.165
'82FB0727','0',26.52838,49.29387
'82FB0727','0',21.072187,41.95623
'82FB0727','2',27.657246,48.91758
'82FB0727','2',34.05416,47.78871
'82FB0727','0',23.706211,39.134064
'82FB0727','0',32.925293,48.91758
'82FB0727','2',47.600567,73.376366
'82FB0727','2',50.987167,63.02842
'82FB0727','2',31.420137,43.461388
'82FB0727','2',29.53869,50.610878
'82FB0727','2',34.43045,60.394394
'82FB0727','2',37.064472,46.84799
'82FB0727','0',30.855703,41.95623
'82FB0727','0',21.824766,40.262928
'82FB0727','2',19.190742,36.876328
'82FB0727','0',19.943321,38.005196
'82FB0727','0',23.894356,38.381485
'82FB0727','2',28.033535,37.252617
'82FB0727','0',34.05416,48.729435
'82FB0727','2',19.567032,61.711407
'82FB0727','2',24.270645,47.600567
'82FB0727','0',20.319609,37.44076
